severity,accuracy,mean_poly_k,std_poly_k,elapsed_time_poly_k
-0.0,1.0,1.0,0.0,0.1177370548248291
-0.032999999821186,1.0,0.9999677285745248,1.111334915764742e-16,0.10539460182189941
-0.0659999996423721,1.0,0.9997418285961964,3.3340047472942265e-16,0.10690546035766602
-0.0989999994635582,1.0,0.9991286715121641,0.0,0.10953617095947266
-0.1319999992847442,1.0,0.9979346287695742,1.111334915764742e-16,0.11106133460998535
-0.1649999916553497,1.0,0.9959660723620316,3.3340047472942265e-16,0.11265850067138672
-0.1979999989271164,1.0,0.9930293720973129,3.3340047472942265e-16,0.1137549877166748
-0.231000006198883,0.996,0.9889308999908821,3.3340047472942265e-16,0.11516690254211426
-0.2639999985694885,0.994,0.9834770301565943,0.0,0.11613869667053223
-0.296999990940094,0.996,0.9764741325989514,3.3340047472942265e-16,0.11835932731628418
-0.3299999833106994,0.99,0.9677285788962497,2.222669831529484e-16,0.11956191062927246
-0.3630000054836273,0.992,0.9570467300473909,2.222669831529484e-16,0.12092447280883789
-0.3959999978542328,0.99,0.9442349767785054,3.3340047472942265e-16,0.12085986137390137
-0.4289999902248382,0.988,0.9290996819245884,2.222669831529484e-16,0.12151741981506348
-0.4620000123977661,0.97,0.9114471999270592,2.222669831529484e-16,0.1239936351776123
-0.4950000047683716,0.968,0.8910839341024102,3.3340047472942265e-16,0.1247396469116211
-0.527999997138977,0.954,0.8678162412527543,1.111334915764742e-16,0.12619495391845703
-0.5609999895095825,0.938,0.8414504929563884,2.222669831529484e-16,0.12735795974731445
-0.593999981880188,0.936,0.8117930607916087,1.111334915764742e-16,0.1294388771057129
-0.6270000338554382,0.92,0.7786502532100581,1.111334915764742e-16,0.13017821311950684
-0.6600000262260437,0.89,0.7418285612235689,2.222669831529484e-16,0.13190174102783203
-0.6930000185966492,0.848,0.7011342997538257,0.0,0.13240313529968262
-0.7260000109672546,0.78,0.6563738403791265,3.3340047472942265e-16,0.13355588912963867
-0.7590000033378601,0.724,0.6073535546777672,0.0,0.1357557773590088
-0.7919999957084656,0.646,0.5538798142280461,0.0,0.1365976333618164
-0.824999988079071,0.542,0.4957589906082596,5.55667457882371e-17,0.13744187355041504
-0.8580000400543213,0.39,0.43279733718723207,1.6670023736471132e-16,0.1384572982788086
-0.8910000324249268,0.266,0.3648014526943068,5.55667457882371e-17,0.1418759822845459
-0.9240000247955322,0.152,0.29157759941647565,1.111334915764742e-16,0.1412186622619629
-0.9570000171661376,0.102,0.21293214893203555,5.55667457882371e-17,0.14151954650878906
-0.9900000095367432,0.102,0.12867147281928412,2.778337289411855e-17,0.14340925216674805
0.0,1.0,1.0,0.0,0.10592532157897949
0.032999999821186,1.0,0.9999738640002833,1.111334915764742e-16,0.11228203773498535
0.0659999996423721,1.0,0.9998954560011327,2.222669831529484e-16,0.11332225799560547
0.0989999994635582,1.0,0.9997647760025496,4.445339663058968e-16,0.11347270011901855
0.1319999992847442,0.998,0.9995818240045317,2.222669831529484e-16,0.11602067947387695
0.1649999916553497,0.998,0.9993466000660899,2.222669831529484e-16,0.11594700813293457
0.1979999989271164,1.0,0.9990591040101967,0.0,0.11741137504577637
0.231000006198883,0.998,0.9987193359312666,2.222669831529484e-16,0.11916899681091309
0.2639999985694885,1.0,0.9983272960181273,1.111334915764742e-16,0.1206212043762207
0.296999990940094,0.998,0.9978829841291578,2.222669831529484e-16,0.12286806106567383
0.3299999833106994,1.0,0.9973864002643589,3.3340047472942265e-16,0.12347269058227539
0.3630000054836273,0.998,0.9968375439044532,0.0,0.12379336357116699
0.3959999978542328,1.0,0.9962364160407869,2.222669831529484e-16,0.12453651428222656
0.4289999902248382,0.996,0.9955830162012903,2.222669831529484e-16,0.12735915184020996
0.4620000123977661,0.998,0.9948773437250669,2.222669831529484e-16,0.12802362442016602
0.4950000047683716,0.998,0.9941193998867034,1.111334915764742e-16,0.13118505477905273
0.527999997138977,0.996,0.99330918407251,2.222669831529484e-16,0.13105559349060059
0.5609999895095825,0.998,0.9924466962824856,3.3340047472942265e-16,0.13269782066345215
0.593999981880188,0.998,0.9915319365166319,2.222669831529484e-16,0.13376998901367188
0.6270000338554382,0.992,0.9905649029810866,1.111334915764742e-16,0.1351172924041748
0.6600000262260437,0.998,0.9895455991691587,2.222669831529484e-16,0.1361408233642578
0.6930000185966492,0.994,0.9884740233814013,3.3340047472942265e-16,0.1510770320892334
0.7260000109672546,0.992,0.9873501756178131,0.0,0.14108514785766602
0.7590000033378601,0.986,0.9861740558783951,1.111334915764742e-16,0.14238667488098145
0.7919999957084656,0.984,0.9849456641631473,3.3340047472942265e-16,0.14161419868469238
0.824999988079071,0.99,0.9836650004720687,0.0,0.14194488525390625
0.8580000400543213,0.982,0.982332062350403,2.222669831529484e-16,0.14721441268920898
0.8910000324249268,0.986,0.9809468546132507,0.0,0.14522814750671387
0.9240000247955322,0.982,0.9795093749002688,2.222669831529484e-16,0.1459944248199463
0.9570000171661376,0.976,0.9780196232114561,2.222669831529484e-16,0.14885306358337402
0.9900000095367432,0.97,0.9764775995468136,3.3340047472942265e-16,0.1488807201385498
