severity,accuracy,mean_poly_k,elapsed_time_poly_k
-0.0,1.0,1.0,0.05855560302734375
-0.032999999821186,1.0,0.9990199000106216,0.06461429595947266
-0.0659999996423721,1.0,0.9960796000424864,0.06629276275634766
-0.0989999994635582,1.0,0.9911791000955943,0.06625485420227051
-0.1319999992847442,0.998,0.9843184001699451,0.09985923767089844
-0.1649999916553497,1.0,0.9754975024783614,0.13091754913330078
-0.1979999989271164,1.0,0.9647164003823755,0.13053369522094727
-0.231000006198883,1.0,0.9519750974225046,0.14269781112670898
-0.2639999985694885,0.998,0.937273600679779,0.13137269020080566
-0.296999990940094,1.0,0.9206119048434259,0.13693904876708984
-0.3299999833106994,0.998,0.901990009913444,0.11134958267211914
-0.3630000054836273,0.998,0.8814078964169981,0.10900306701660156
-0.3959999978542328,0.998,0.858865601529503,0.13412714004516602
-0.4289999902248382,0.998,0.8343631075483801,0.16988587379455566
-0.4620000123977661,0.996,0.8079003896900174,0.14360642433166504
-0.4950000047683716,0.996,0.7794774957513809,0.1248786449432373
-0.527999997138977,0.996,0.7490944027191163,0.1308741569519043
-0.5609999895095825,0.996,0.7167511105932235,0.15422320365905762
-0.593999981880188,0.992,0.6824476193737026,0.17786169052124023
-0.6270000338554382,0.992,0.6461838617907513,0.172743558883667
-0.6600000262260437,0.982,0.6079599688434596,0.15800786018371582
-0.6930000185966492,0.986,0.5677758768025394,0.14898109436035156
-0.7260000109672546,0.986,0.5256315856679914,0.16922545433044434
-0.7590000033378601,0.984,0.48152709543981564,0.13755059242248535
-0.7919999957084656,0.984,0.4354624061180114,0.1905829906463623
-0.824999988079071,0.968,0.38743751770257945,0.19082283973693848
-0.8580000400543213,0.98,0.33745233814010483,0.10477066040039062
-0.8910000324249268,0.962,0.2855070479969015,0.16801834106445312
-0.9240000247955322,0.96,0.2316015587600702,0.15401935577392578
-0.9570000171661376,0.954,0.175735870429611,0.1551201343536377
-0.9900000095367432,0.946,0.11790998300552365,0.15962576866149902
0.0,0.998,1.0,0.10160040855407715
0.032999999821186,1.0,0.9990199000106216,0.0993201732635498
0.0659999996423721,1.0,0.9960796000424864,0.10259342193603516
0.0989999994635582,1.0,0.9911791000955943,0.11113905906677246
0.1319999992847442,1.0,0.9843184001699451,0.12540340423583984
0.1649999916553497,1.0,0.9754975024783614,0.10138916969299316
0.1979999989271164,0.998,0.9647164003823755,0.11220812797546387
0.231000006198883,1.0,0.9519750974225046,0.11197996139526367
0.2639999985694885,0.998,0.937273600679779,0.1332390308380127
0.296999990940094,1.0,0.9206119048434259,0.14857196807861328
0.3299999833106994,1.0,0.901990009913444,0.11482071876525879
0.3630000054836273,1.0,0.8814078964169981,0.08192825317382812
0.3959999978542328,1.0,0.858865601529503,0.07994627952575684
0.4289999902248382,1.0,0.8343631075483801,0.08570313453674316
0.4620000123977661,1.0,0.8079003896900174,0.08370113372802734
0.4950000047683716,1.0,0.7794774957513809,0.08328008651733398
0.527999997138977,1.0,0.7490944027191163,0.08355951309204102
0.5609999895095825,1.0,0.7167511105932235,0.08669161796569824
0.593999981880188,1.0,0.6824476193737026,0.08602404594421387
0.6270000338554382,1.0,0.6461838617907513,0.08773231506347656
0.6600000262260437,1.0,0.6079599688434596,0.08701300621032715
0.6930000185966492,1.0,0.5677758768025394,0.08852243423461914
0.7260000109672546,1.0,0.5256315856679914,0.09125185012817383
0.7590000033378601,1.0,0.48152709543981564,0.09075284004211426
0.7919999957084656,1.0,0.4354624061180114,0.09244132041931152
0.824999988079071,1.0,0.38743751770257945,0.09262800216674805
0.8580000400543213,0.998,0.33745233814010483,0.09435129165649414
0.8910000324249268,0.998,0.2855070479969015,0.09473395347595215
0.9240000247955322,1.0,0.2316015587600702,0.09553790092468262
0.9570000171661376,0.996,0.175735870429611,0.09715700149536133
0.9900000095367432,1.0,0.11790998300552365,0.09807205200195312
