Severity,Mean,Std,Accuracy,Time Taken
1.0,1.0,0.0,1.0,0.1273281574249267
0.9666666666666667,1.0,0.0,0.994,0.1221647262573242
0.9333333333333333,1.0,0.0,0.986,0.1210107803344726
0.9,1.0,0.0,0.978,0.1217987537384033
0.8666666666666667,1.0,0.0,0.966,0.1204643249511718
0.8333333333333334,1.0,0.0,0.954,0.119950532913208
0.8,1.0,0.0,0.94,0.1250319480895996
0.7666666666666667,1.0,0.0,0.938,0.1319618225097656
0.7333333333333333,1.0,0.0,0.906,0.1297128200531005
0.7,1.0,0.0,0.914,0.1259429454803466
0.6666666666666666,1.0,0.0,0.872,0.1250872611999511
0.6333333333333333,1.0,0.0,0.832,0.122910737991333
0.6,1.0,0.0,0.808,0.1234054565429687
0.5666666666666667,1.0,0.0,0.796,0.1203455924987793
0.5333333333333333,1.0,0.0,0.794,0.1225867271423339
0.5,1.0,0.0,0.794,0.1216869354248046
0.4666666666666667,1.0,0.0,0.78,0.1195497512817382
0.43333333333333335,1.0,0.0,0.77,0.1247713565826416
0.4,1.0,0.0,0.76,0.1200501918792724
0.36666666666666664,1.0,0.0,0.7,0.1216440200805664
0.3333333333333333,1.0,0.0,0.664,0.1212890148162841
0.3,1.0,0.0,0.636,0.1233184337615966
0.26666666666666666,1.0,0.0,0.584,0.1253623962402343
0.23333333333333334,1.0,0.0,0.578,0.1259775161743164
0.2,1.0,0.0,0.548,0.1257696151733398
0.16666666666666666,1.0,0.0,0.528,0.131580114364624
0.13333333333333333,1.0,0.0,0.526,0.1279969215393066
0.1,1.0,0.0,0.546,0.1218013763427734
0.06666666666666667,1.0,0.0,0.528,0.1271781921386718
0.03333333333333333,1.0,0.0,0.548,0.1225435733795166
0.0,1.0,0.0,0.55,0.12367844581604
1.0,1.0,0.0,1.0,0.1232759952545166
0.9666666666666667,1.0,0.0,0.992,0.1248309612274169
0.9333333333333333,1.0,0.0,0.988,0.125072956085205
0.9,1.0,0.0,0.98,0.1945216655731201
0.8666666666666667,1.0,0.0,0.964,0.1463861465454101
0.8333333333333334,1.0,0.0,0.956,0.1207931041717529
0.8,1.0,0.0,0.942,0.1263511180877685
0.7666666666666667,1.0,0.0,0.932,0.1125795841217041
0.7333333333333333,1.0,0.0,0.908,0.1141951084136962
0.7,1.0,0.0,0.898,0.1134014129638671
0.6666666666666666,1.0,0.0,0.876,0.1187000274658203
0.6333333333333333,1.0,0.0,0.818,0.1154158115386962
0.6,1.0,0.0,0.814,0.1161651611328125
0.5666666666666667,1.0,0.0,0.808,0.1257929801940918
0.5333333333333333,1.0,0.0,0.788,0.117103099822998
0.5,1.0,0.0,0.79,0.1495954990386963
0.4666666666666667,1.0,0.0,0.786,0.1524958610534668
0.43333333333333335,1.0,0.0,0.774,0.1169271469116211
0.4,1.0,0.0,0.738,0.1198453903198242
0.36666666666666664,1.0,0.0,0.716,0.1226348876953125
0.3333333333333333,1.0,0.0,0.664,0.1173629760742187
0.3,1.0,0.0,0.632,0.1168959140777587
0.26666666666666666,1.0,0.0,0.59,0.1376187801361084
0.23333333333333334,1.0,0.0,0.566,0.1381258964538574
0.2,1.0,0.0,0.536,0.1165964603424072
0.16666666666666666,1.0,0.0,0.522,0.1301937103271484
0.13333333333333333,1.0,0.0,0.512,0.1341555118560791
0.1,1.0,0.0,0.522,0.1362636089324951
0.06666666666666667,1.0,0.0,0.536,0.1315841674804687
0.03333333333333333,1.0,0.0,0.548,0.130521535873413
0.0,1.0,0.0,0.566,0.1414644718170166
